customer_id,source_product_id,target_product_id,source_purchase_count,pair_confidence,supporting_customers,product_id,typical_quantity,typical_unit_price,typical_line_value,expected_cross_sell_value,source_history_score,pair_score,support_score,cross_sell_confidence,cross_sell_score,customer_name,source_product_name,target_product_name
14,80,117,14,40.0,6,117,11.0,450.95,5059.93,5059.93,1.0,0.8,0.6,80.0,404794.4,Klient_014,Produkt_080,Produkt_117
79,80,117,10,40.0,6,117,11.0,450.95,5059.93,5059.93,1.0,0.8,0.6,80.0,404794.4,Klient_079,Produkt_080,Produkt_117
120,80,117,9,40.0,6,117,11.0,450.95,5059.93,5059.93,1.0,0.8,0.6,80.0,404794.4,Klient_120,Produkt_080,Produkt_117
246,80,117,9,40.0,6,117,11.0,450.95,5059.93,5059.93,1.0,0.8,0.6,80.0,404794.4,Klient_246,Produkt_080,Produkt_117
20,80,117,15,40.0,6,117,11.0,450.95,5059.93,5059.93,1.0,0.8,0.6,80.0,404794.4,Klient_020,Produkt_080,Produkt_117
164,22,117,8,37.5,6,117,11.0,450.95,5059.93,5059.93,1.0,0.75,0.6,77.5,392144.575,Klient_164,Produkt_022,Produkt_117
87,22,117,11,37.5,6,117,11.0,450.95,5059.93,5059.93,1.0,0.75,0.6,77.5,392144.575,Klient_087,Produkt_022,Produkt_117
213,22,117,12,37.5,6,117,11.0,450.95,5059.93,5059.93,1.0,0.75,0.6,77.5,392144.575,Klient_213,Produkt_022,Produkt_117
142,22,117,20,37.5,6,117,11.0,450.95,5059.93,5059.93,1.0,0.75,0.6,77.5,392144.575,Klient_142,Produkt_022,Produkt_117
65,22,117,11,37.5,6,117,11.0,450.95,5059.93,5059.93,1.0,0.75,0.6,77.5,392144.575,Klient_065,Produkt_022,Produkt_117
121,22,117,11,37.5,6,117,11.0,450.95,5059.93,5059.93,1.0,0.75,0.6,77.5,392144.575,Klient_121,Produkt_022,Produkt_117
294,80,117,7,40.0,6,117,11.0,450.95,5059.93,5059.93,0.875,0.8,0.6,76.9,389108.617,Klient_294,Produkt_080,Produkt_117
21,80,117,6,40.0,6,117,11.0,450.95,5059.93,5059.93,0.75,0.8,0.6,73.8,373422.83400000003,Klient_021,Produkt_080,Produkt_117
243,80,117,6,40.0,6,117,11.0,450.95,5059.93,5059.93,0.75,0.8,0.6,73.8,373422.83400000003,Klient_243,Produkt_080,Produkt_117
43,16,117,17,33.3,6,117,11.0,450.95,5059.93,5059.93,1.0,0.6659999999999999,0.6,73.3,370892.869,Klient_043,Produkt_016,Produkt_117
109,16,117,14,33.3,6,117,11.0,450.95,5059.93,5059.93,1.0,0.6659999999999999,0.6,73.3,370892.869,Klient_109,Produkt_016,Produkt_117
46,16,117,8,33.3,6,117,11.0,450.95,5059.93,5059.93,1.0,0.6659999999999999,0.6,73.3,370892.869,Klient_046,Produkt_016,Produkt_117
86,16,117,12,33.3,6,117,11.0,450.95,5059.93,5059.93,1.0,0.6659999999999999,0.6,73.3,370892.869,Klient_086,Produkt_016,Produkt_117
106,16,117,9,33.3,6,117,11.0,450.95,5059.93,5059.93,1.0,0.6659999999999999,0.6,73.3,370892.869,Klient_106,Produkt_016,Produkt_117
107,16,117,11,33.3,6,117,11.0,450.95,5059.93,5059.93,1.0,0.6659999999999999,0.6,73.3,370892.869,Klient_107,Produkt_016,Produkt_117
260,16,117,15,33.3,6,117,11.0,450.95,5059.93,5059.93,1.0,0.6659999999999999,0.6,73.3,370892.869,Klient_260,Produkt_016,Produkt_117
202,16,117,17,33.3,6,117,11.0,450.95,5059.93,5059.93,1.0,0.6659999999999999,0.6,73.3,370892.869,Klient_202,Produkt_016,Produkt_117
199,128,126,11,31.2,5,126,11.0,474.14,5314.155,5314.16,1.0,0.624,0.5,68.7,365082.792,Klient_199,Produkt_128,Produkt_126
255,128,126,22,31.2,5,126,11.0,474.14,5314.155,5314.16,1.0,0.624,0.5,68.7,365082.792,Klient_255,Produkt_128,Produkt_126
73,128,126,20,31.2,5,126,11.0,474.14,5314.155,5314.16,1.0,0.624,0.5,68.7,365082.792,Klient_073,Produkt_128,Produkt_126
182,128,126,19,31.2,5,126,11.0,474.14,5314.155,5314.16,1.0,0.624,0.5,68.7,365082.792,Klient_182,Produkt_128,Produkt_126
245,128,126,10,31.2,5,126,11.0,474.14,5314.155,5314.16,1.0,0.624,0.5,68.7,365082.792,Klient_245,Produkt_128,Produkt_126
179,22,117,6,37.5,6,117,11.0,450.95,5059.93,5059.93,0.75,0.75,0.6,71.2,360267.01600000006,Klient_179,Produkt_022,Produkt_117
44,22,117,6,37.5,6,117,11.0,450.95,5059.93,5059.93,0.75,0.75,0.6,71.2,360267.01600000006,Klient_044,Produkt_022,Produkt_117
217,65,129,12,31.2,5,129,10.5,494.94500000000005,5194.145,5194.15,1.0,0.624,0.5,68.7,356838.105,Klient_217,Produkt_065,Produkt_129
251,65,129,14,31.2,5,129,10.5,494.94500000000005,5194.145,5194.15,1.0,0.624,0.5,68.7,356838.105,Klient_251,Produkt_065,Produkt_129
146,65,129,9,31.2,5,129,10.5,494.94500000000005,5194.145,5194.15,1.0,0.624,0.5,68.7,356838.105,Klient_146,Produkt_065,Produkt_129
73,65,129,23,31.2,5,129,10.5,494.94500000000005,5194.145,5194.15,1.0,0.624,0.5,68.7,356838.105,Klient_073,Produkt_065,Produkt_129
195,65,129,21,31.2,5,129,10.5,494.94500000000005,5194.145,5194.15,1.0,0.624,0.5,68.7,356838.105,Klient_195,Produkt_065,Produkt_129
98,65,129,22,31.2,5,129,10.5,494.94500000000005,5194.145,5194.15,1.0,0.624,0.5,68.7,356838.105,Klient_098,Produkt_065,Produkt_129
174,65,129,13,31.2,5,129,10.5,494.94500000000005,5194.145,5194.15,1.0,0.624,0.5,68.7,356838.105,Klient_174,Produkt_065,Produkt_129
127,16,117,7,33.3,6,117,11.0,450.95,5059.93,5059.93,0.875,0.6659999999999999,0.6,70.2,355207.086,Klient_127,Produkt_016,Produkt_117
251,20,49,11,36.4,4,49,11.0,463.29,4900.17,4900.17,1.0,0.728,0.4,71.4,349872.13800000004,Klient_251,Produkt_020,Produkt_049
44,20,49,8,36.4,4,49,11.0,463.29,4900.17,4900.17,1.0,0.728,0.4,71.4,349872.13800000004,Klient_044,Produkt_020,Produkt_049
103,128,126,7,31.2,5,126,11.0,474.14,5314.155,5314.16,0.875,0.624,0.5,65.6,348608.89599999995,Klient_103,Produkt_128,Produkt_126
120,65,129,7,31.2,5,129,10.5,494.94500000000005,5194.145,5194.15,0.875,0.624,0.5,65.6,340736.23999999993,Klient_120,Produkt_065,Produkt_129
180,140,117,16,29.4,5,117,11.0,450.95,5059.93,5059.93,1.0,0.588,0.5,66.9,338509.31700000004,Klient_180,Produkt_140,Produkt_117
111,140,117,16,29.4,5,117,11.0,450.95,5059.93,5059.93,1.0,0.588,0.5,66.9,338509.31700000004,Klient_111,Produkt_140,Produkt_117
23,140,117,19,29.4,5,117,11.0,450.95,5059.93,5059.93,1.0,0.588,0.5,66.9,338509.31700000004,Klient_023,Produkt_140,Produkt_117
282,140,117,8,29.4,5,117,11.0,450.95,5059.93,5059.93,1.0,0.588,0.5,66.9,338509.31700000004,Klient_282,Produkt_140,Produkt_117
24,140,117,14,29.4,5,117,11.0,450.95,5059.93,5059.93,1.0,0.588,0.5,66.9,338509.31700000004,Klient_024,Produkt_140,Produkt_117
181,140,117,12,29.4,5,117,11.0,450.95,5059.93,5059.93,1.0,0.588,0.5,66.9,338509.31700000004,Klient_181,Produkt_140,Produkt_117
300,140,117,13,29.4,5,117,11.0,450.95,5059.93,5059.93,1.0,0.588,0.5,66.9,338509.31700000004,Klient_300,Produkt_140,Produkt_117
107,140,117,14,29.4,5,117,11.0,450.95,5059.93,5059.93,1.0,0.588,0.5,66.9,338509.31700000004,Klient_107,Produkt_140,Produkt_117
177,20,49,7,36.4,4,49,11.0,463.29,4900.17,4900.17,0.875,0.728,0.4,68.3,334681.611,Klient_177,Produkt_020,Produkt_049
171,128,126,6,31.2,5,126,11.0,474.14,5314.155,5314.16,0.75,0.624,0.5,62.4,331603.584,Klient_171,Produkt_128,Produkt_126
271,22,117,4,37.5,6,117,11.0,450.95,5059.93,5059.93,0.5,0.75,0.6,65.0,328895.45,Klient_271,Produkt_022,Produkt_117
105,65,129,6,31.2,5,129,10.5,494.94500000000005,5194.145,5194.15,0.75,0.624,0.5,62.4,324114.95999999996,Klient_105,Produkt_065,Produkt_129
278,16,117,5,33.3,6,117,11.0,450.95,5059.93,5059.93,0.625,0.6659999999999999,0.6,63.9,323329.527,Klient_278,Produkt_016,Produkt_117
290,16,117,5,33.3,6,117,11.0,450.95,5059.93,5059.93,0.625,0.6659999999999999,0.6,63.9,323329.527,Klient_290,Produkt_016,Produkt_117
172,102,117,24,28.6,4,117,11.0,450.95,5059.93,5059.93,1.0,0.5720000000000001,0.4,63.6,321811.548,Klient_172,Produkt_102,Produkt_117
