customer_id,customer_name,products_count,total_expected_revenue,avg_confidence,max_confidence,task_message
135,Klient_135,1,7532.64,77.8,77.8,"KLIENT: Klient_135
Liczba produktów do potencjalnego ponownego zamówienia: 1
Łączna przewidywana wartość: 7533 PLN
Średnia pewność: 77.8%

PROPONOWANE POZYCJE:
- Produkt_126: ok. 16 szt. (wartość ok. 7533 PLN, confidence 78%)

REKOMENDACJA: Skontaktuj się z klientem i przygotuj propozycję ponownego zamówienia."
18,Klient_018,1,6621.81,76.5,76.5,"KLIENT: Klient_018
Liczba produktów do potencjalnego ponownego zamówienia: 1
Łączna przewidywana wartość: 6622 PLN
Średnia pewność: 76.5%

PROPONOWANE POZYCJE:
- Produkt_129: ok. 13 szt. (wartość ok. 6622 PLN, confidence 76%)

REKOMENDACJA: Skontaktuj się z klientem i przygotuj propozycję ponownego zamówienia."
163,Klient_163,2,6510.39,78.2,79.1,"KLIENT: Klient_163
Liczba produktów do potencjalnego ponownego zamówienia: 2
Łączna przewidywana wartość: 6510 PLN
Średnia pewność: 78.2%

PROPONOWANE POZYCJE:
- Produkt_132: ok. 13 szt. (wartość ok. 3768 PLN, confidence 77%)
- Produkt_119: ok. 10 szt. (wartość ok. 2743 PLN, confidence 79%)

REKOMENDACJA: Skontaktuj się z klientem i przygotuj propozycję ponownego zamówienia."
113,Klient_113,1,5986.24,76.0,76.0,"KLIENT: Klient_113
Liczba produktów do potencjalnego ponownego zamówienia: 1
Łączna przewidywana wartość: 5986 PLN
Średnia pewność: 76.0%

PROPONOWANE POZYCJE:
- Produkt_007: ok. 16 szt. (wartość ok. 5986 PLN, confidence 76%)

REKOMENDACJA: Skontaktuj się z klientem i przygotuj propozycję ponownego zamówienia."
40,Klient_040,2,5461.16,76.0,77.0,"KLIENT: Klient_040
Liczba produktów do potencjalnego ponownego zamówienia: 2
Łączna przewidywana wartość: 5461 PLN
Średnia pewność: 76.0%

PROPONOWANE POZYCJE:
- Produkt_046: ok. 9 szt. (wartość ok. 4109 PLN, confidence 77%)
- Produkt_101: ok. 10 szt. (wartość ok. 1352 PLN, confidence 75%)

REKOMENDACJA: Skontaktuj się z klientem i przygotuj propozycję ponownego zamówienia."
97,Klient_097,1,4380.25,78.1,78.1,"KLIENT: Klient_097
Liczba produktów do potencjalnego ponownego zamówienia: 1
Łączna przewidywana wartość: 4380 PLN
Średnia pewność: 78.1%

PROPONOWANE POZYCJE:
- Produkt_043: ok. 12 szt. (wartość ok. 4380 PLN, confidence 78%)

REKOMENDACJA: Skontaktuj się z klientem i przygotuj propozycję ponownego zamówienia."
260,Klient_260,1,4061.68,76.8,76.8,"KLIENT: Klient_260
Liczba produktów do potencjalnego ponownego zamówienia: 1
Łączna przewidywana wartość: 4062 PLN
Średnia pewność: 76.8%

PROPONOWANE POZYCJE:
- Produkt_032: ok. 12 szt. (wartość ok. 4062 PLN, confidence 77%)

REKOMENDACJA: Skontaktuj się z klientem i przygotuj propozycję ponownego zamówienia."
237,Klient_237,1,4015.84,76.7,76.7,"KLIENT: Klient_237
Liczba produktów do potencjalnego ponownego zamówienia: 1
Łączna przewidywana wartość: 4016 PLN
Średnia pewność: 76.7%

PROPONOWANE POZYCJE:
- Produkt_011: ok. 10 szt. (wartość ok. 4016 PLN, confidence 77%)

REKOMENDACJA: Skontaktuj się z klientem i przygotuj propozycję ponownego zamówienia."
245,Klient_245,1,3635.12,75.2,75.2,"KLIENT: Klient_245
Liczba produktów do potencjalnego ponownego zamówienia: 1
Łączna przewidywana wartość: 3635 PLN
Średnia pewność: 75.2%

PROPONOWANE POZYCJE:
- Produkt_029: ok. 8 szt. (wartość ok. 3635 PLN, confidence 75%)

REKOMENDACJA: Skontaktuj się z klientem i przygotuj propozycję ponownego zamówienia."
89,Klient_089,1,3604.12,80.5,80.5,"KLIENT: Klient_089
Liczba produktów do potencjalnego ponownego zamówienia: 1
Łączna przewidywana wartość: 3604 PLN
Średnia pewność: 80.5%

PROPONOWANE POZYCJE:
- Produkt_018: ok. 10 szt. (wartość ok. 3604 PLN, confidence 80%)

REKOMENDACJA: Skontaktuj się z klientem i przygotuj propozycję ponownego zamówienia."
