customer_id,product_id,purchase_count,avg_interval_days,std_interval_days,last_purchase_date,days_since_last_purchase,product_reorder_ratio,opportunity_status,opportunity_status_v2,regularity_score,history_score,timing_score,confidence_score_v2,avg_quantity,median_quantity,avg_unit_price,median_line_value,expected_revenue,opportunity_score_v2,customer_name,product_name,recommendation
135,126,8,134.3,63.5,2025-08-14,139,1.0349962769918093,due_soon,due_soon,0.5271779597915116,1.0,0.9650037230081907,77.8,14.1,16.0,470.79,7209.58,7532.64,586039.392,Klient_135,Produkt_126,Przygotuj ofertę ponownego zakupu
171,128,6,168.8,53.4,2025-05-12,233,1.3803317535545023,overdue,overdue,0.683649289099526,0.75,0.6196682464454977,68.8,14.3,16.0,476.23,7760.72,7619.68,524233.984,Klient_171,Produkt_128,Skontaktuj się z klientem pilnie
18,129,9,115.1,56.2,2025-09-14,108,0.9383145091225022,due_soon,due_soon,0.5117289313640312,1.0,0.9383145091225022,76.5,13.0,13.0,509.37,6970.73,6621.81,506568.465,Klient_018,Produkt_129,Przygotuj ofertę ponownego zakupu
113,7,9,93.4,36.2,2025-09-04,118,1.2633832976445396,overdue,overdue,0.6124197002141327,1.0,0.7366167023554604,76.0,13.7,16.0,374.14,5720.64,5986.24,454954.24,Klient_113,Produkt_007,Skontaktuj się z klientem pilnie
258,48,7,156.8,79.7,2025-08-15,138,0.8801020408163265,due_soon,due_soon,0.4917091836734694,0.875,0.8801020408163265,70.4,13.1,15.0,394.82,5659.2,5922.3,416929.92000000004,Klient_258,Produkt_048,Przygotuj ofertę ponownego zakupu
113,52,8,136.7,89.7,2025-09-04,118,0.8632040965618143,due_soon,due_soon,0.3438185808339429,1.0,0.8632040965618143,67.1,9.5,12.5,487.15,5750.66,6089.38,408597.398,Klient_113,Produkt_052,Przygotuj ofertę ponownego zakupu
224,40,10,104.8,70.9,2025-08-19,134,1.2786259541984732,overdue,overdue,0.323473282442748,1.0,0.7213740458015268,62.6,12.6,14.0,461.42,6562.42,6459.88,404388.488,Klient_224,Produkt_040,Skontaktuj się z klientem pilnie
197,42,4,215.7,34.3,2025-03-29,277,1.2841910060268893,overdue,overdue,0.8409828465461289,0.5,0.7158089939731107,70.7,13.2,14.0,393.97,5196.66,5515.58,389951.506,Klient_197,Produkt_042,Skontaktuj się z klientem pilnie
1,149,14,72.5,44.0,2025-10-11,81,1.1172413793103448,due_soon,due_soon,0.3931034482758621,1.0,0.8827586206896552,69.8,11.6,12.5,443.5,5268.92,5543.75,386953.75,Klient_001,Produkt_149,Przygotuj ofertę ponownego zakupu
283,15,9,118.2,93.9,2025-09-05,117,0.9898477157360406,due_soon,due_soon,0.20558375634517767,1.0,0.9898477157360406,64.0,12.7,13.0,462.92,6148.22,6017.96,385149.44,Klient_283,Produkt_015,Przygotuj ofertę ponownego zakupu
129,117,15,68.8,53.7,2025-10-22,70,1.0174418604651163,due_soon,due_soon,0.21947674418604646,1.0,0.9825581395348837,64.4,12.1,13.0,450.23,5779.02,5852.99,376932.55600000004,Klient_129,Produkt_117,Przygotuj ofertę ponownego zakupu
220,34,7,136.0,35.9,2025-06-24,190,1.3970588235294117,overdue,overdue,0.7360294117647059,0.875,0.6029411764705883,74.4,12.4,16.0,313.43,5268.0,5014.88,373107.07200000004,Klient_220,Produkt_034,Skontaktuj się z klientem pilnie
56,71,13,78.8,37.3,2025-09-21,101,1.2817258883248732,overdue,overdue,0.5266497461928934,1.0,0.7182741116751268,71.7,11.3,13.0,397.69,5429.19,5169.97,370686.84900000005,Klient_056,Produkt_071,Skontaktuj się z klientem pilnie
243,142,8,103.1,68.1,2025-08-08,145,1.4064015518913677,overdue,overdue,0.33947623666343363,1.0,0.5935984481086323,60.1,12.5,13.0,472.36,6323.73,6140.68,369054.868,Klient_243,Produkt_142,Skontaktuj się z klientem pilnie
165,133,9,110.5,76.6,2025-06-25,189,1.7104072398190044,overdue,overdue,0.3067873303167421,1.0,0.28959276018099556,51.0,12.0,16.0,452.04,6679.2,7232.64,368864.64,Klient_165,Produkt_133,Skontaktuj się z klientem pilnie
149,128,11,94.3,65.5,2025-10-07,85,0.9013785790031814,due_soon,due_soon,0.30540827147401906,1.0,0.9013785790031814,66.3,11.3,12.0,461.16,5267.4,5533.92,366898.896,Klient_149,Produkt_128,Przygotuj ofertę ponownego zakupu
279,49,12,89.6,45.3,2025-10-12,80,0.8928571428571429,due_soon,due_soon,0.4944196428571429,1.0,0.8928571428571429,74.6,10.5,10.5,467.0,5189.95,4903.5,365801.1,Klient_279,Produkt_049,Przygotuj ofertę ponownego zakupu
24,140,14,64.2,39.4,2025-10-19,73,1.1370716510903427,due_soon,due_soon,0.3862928348909658,1.0,0.8629283489096573,69.0,11.5,11.5,453.73,5161.93,5217.9,360035.1,Klient_024,Produkt_140,Przygotuj ofertę ponownego zakupu
228,68,17,62.2,45.1,2025-10-03,89,1.4308681672025723,overdue,overdue,0.27491961414791,1.0,0.5691318327974277,56.6,11.6,13.0,485.9,5885.1,6316.7,357525.22,Klient_228,Produkt_068,Skontaktuj się z klientem pilnie
192,106,6,150.4,92.7,2025-07-06,178,1.1835106382978724,due_soon,due_soon,0.3836436170212766,0.75,0.8164893617021276,60.2,11.5,13.5,426.87,5685.45,5762.74,346916.948,Klient_192,Produkt_106,Przygotuj ofertę ponownego zakupu
37,42,6,100.8,61.9,2025-09-21,101,1.001984126984127,due_soon,due_soon,0.3859126984126984,0.75,0.998015873015873,64.8,12.3,13.5,395.97,5109.76,5345.6,346394.88,Klient_037,Produkt_042,Przygotuj ofertę ponownego zakupu
74,91,6,169.4,92.3,2025-05-15,230,1.357733175914994,overdue,overdue,0.4551357733175916,0.75,0.642266824085006,59.0,12.0,12.5,467.25,5679.84,5840.62,344596.58,Klient_074,Produkt_091,Skontaktuj się z klientem pilnie
237,29,14,71.5,56.2,2025-10-16,76,1.062937062937063,due_soon,due_soon,0.2139860139860139,1.0,0.9370629370629371,63.1,11.4,12.0,454.21,5687.16,5450.52,343927.81200000003,Klient_237,Produkt_029,Przygotuj ofertę ponownego zakupu
97,43,8,121.1,49.5,2025-09-18,104,0.8587943848059455,due_soon,due_soon,0.5912469033856317,1.0,0.8587943848059455,78.1,12.8,12.5,350.42,4506.45,4380.25,342097.52499999997,Klient_097,Produkt_043,Przygotuj ofertę ponownego zakupu
32,149,13,83.7,65.2,2025-10-13,79,0.9438470728793309,due_soon,due_soon,0.22102747909199516,1.0,0.9438470728793309,63.5,11.5,12.0,448.06,5246.45,5376.72,341421.72000000003,Klient_032,Produkt_149,Przygotuj ofertę ponownego zakupu
72,15,24,38.5,20.2,2025-11-13,48,1.2467532467532467,overdue,overdue,0.47532467532467537,1.0,0.7532467532467533,70.2,10.1,10.5,462.11,4938.91,4852.16,340621.632,Klient_072,Produkt_015,Skontaktuj się z klientem pilnie
23,140,19,55.0,33.4,2025-10-31,61,1.1090909090909091,due_soon,due_soon,0.3927272727272727,1.0,0.8909090909090909,69.9,10.7,11.0,441.71,4771.03,4858.81,339630.8190000001,Klient_023,Produkt_140,Przygotuj ofertę ponownego zakupu
240,41,15,65.3,43.0,2025-10-04,88,1.3476263399693722,overdue,overdue,0.341500765696784,1.0,0.6523736600306278,61.7,11.6,12.0,458.45,5754.72,5501.4,339436.38,Klient_240,Produkt_041,Skontaktuj się z klientem pilnie
12,25,20,52.8,34.0,2025-11-12,49,0.9280303030303031,due_soon,due_soon,0.3560606060606061,1.0,0.9280303030303031,69.2,10.3,11.0,445.63,4910.11,4901.93,339213.55600000004,Klient_012,Produkt_025,Przygotuj ofertę ponownego zakupu
247,11,14,70.3,35.6,2025-09-22,100,1.4224751066856332,overdue,overdue,0.49359886201991465,1.0,0.5775248933143668,66.7,11.4,12.0,423.17,4765.14,5078.04,338705.26800000004,Klient_247,Produkt_011,Skontaktuj się z klientem pilnie
292,97,8,123.3,71.0,2025-08-10,143,1.159772911597729,due_soon,due_soon,0.4241686942416869,1.0,0.8402270884022709,70.1,11.4,12.0,401.54,4813.95,4818.48,337775.4479999999,Klient_292,Produkt_097,Przygotuj ofertę ponownego zakupu
66,36,4,249.0,107.5,2025-05-08,237,0.9518072289156626,due_soon,due_soon,0.5682730923694779,0.5,0.9518072289156626,64.4,13.8,14.5,359.5,5219.88,5212.75,335701.10000000003,Klient_066,Produkt_036,Przygotuj ofertę ponownego zakupu
299,68,4,121.0,54.7,2025-09-11,111,0.9173553719008265,due_soon,due_soon,0.5479338842975207,0.5,0.9173553719008265,62.6,10.8,11.0,486.78,5183.49,5354.58,335196.708,Klient_299,Produkt_068,Przygotuj ofertę ponownego zakupu
141,32,3,269.5,79.9,2024-10-05,452,1.6771799628942485,overdue,overdue,0.7035250463821892,0.375,0.32282003710575147,51.0,13.3,18.0,362.06,6622.92,6517.08,332371.08,Klient_141,Produkt_032,Skontaktuj się z klientem pilnie
11,27,21,50.2,30.8,2025-10-24,68,1.3545816733067728,overdue,overdue,0.38645418326693226,1.0,0.6454183266932272,63.5,10.6,12.0,433.32,5279.28,5199.84,330189.84,Klient_011,Produkt_027,Skontaktuj się z klientem pilnie
120,106,8,121.9,83.8,2025-09-18,104,0.8531583264971287,due_soon,due_soon,0.3125512715340444,1.0,0.8531583264971287,65.4,11.2,12.0,420.32,4837.02,5043.84,329867.13600000006,Klient_120,Produkt_106,Przygotuj ofertę ponownego zakupu
