customer_id,product_id,purchase_count,avg_interval_days,std_interval_days,last_purchase_date,days_since_last_purchase,product_reorder_ratio,opportunity_status,opportunity_status_v2,regularity_score,history_score,winback_confidence,avg_quantity,median_quantity,avg_unit_price,median_line_value,expected_recovery_value,winback_score,customer_name,product_name
283,57,9,94.0,27.2,2025-02-23,311,3.3085106382978724,lapsed,lapsed,0.7106382978723405,0.9,78.6,13.4,16.0,378.91,6308.64,6062.56,476517.216,Klient_283,Produkt_057
179,142,8,104.3,30.4,2025-04-20,255,2.444870565675935,overdue,lapsed,0.7085330776605945,0.8,74.5,10.2,11.0,476.74,5116.26,5244.14,390688.43000000005,Klient_179,Produkt_142
274,126,10,92.4,51.5,2025-05-27,218,2.3593073593073592,overdue,lapsed,0.4426406926406927,1.0,66.6,9.5,10.0,484.33,4845.66,4843.3,322563.77999999997,Klient_274,Produkt_126
241,144,11,41.4,16.0,2024-08-24,494,11.932367149758454,lapsed,lapsed,0.6135265700483092,1.0,76.8,9.9,9.0,466.04,4187.43,4194.36,322126.84799999994,Klient_241,Produkt_144
39,4,8,97.0,17.6,2024-11-13,413,4.257731958762887,lapsed,lapsed,0.8185567010309278,0.8,81.1,11.4,10.5,335.84,3454.54,3526.32,285984.55199999997,Klient_039,Produkt_004
257,34,20,47.7,27.5,2025-06-29,185,3.8784067085953877,lapsed,lapsed,0.4234800838574424,1.0,65.4,12.2,12.5,310.87,4022.52,3885.88,254136.55200000003,Klient_257,Produkt_034
30,86,27,36.7,18.3,2025-09-29,93,2.534059945504087,lapsed,lapsed,0.5013623978201636,1.0,70.1,9.0,8.0,434.84,3291.4,3478.72,243858.27199999997,Klient_030,Produkt_086
257,69,17,56.0,18.6,2025-09-05,117,2.0892857142857144,overdue,lapsed,0.6678571428571428,1.0,80.1,10.2,10.0,299.23,3217.0,2992.3,239683.23,Klient_257,Produkt_069
108,120,14,70.4,38.9,2025-07-24,160,2.2727272727272725,overdue,lapsed,0.4474431818181819,1.0,66.8,10.1,9.5,358.03,3431.07,3401.28,227205.50400000002,Klient_108,Produkt_120
262,99,14,71.9,37.7,2025-07-28,156,2.1696801112656465,overdue,lapsed,0.47566063977746875,1.0,68.5,10.2,10.5,307.76,3158.35,3231.48,221356.38,Klient_262,Produkt_099
184,103,12,75.3,26.6,2025-05-29,216,2.8685258964143427,lapsed,lapsed,0.646746347941567,1.0,78.8,8.3,7.5,360.85,2723.36,2706.38,213262.744,Klient_184,Produkt_103
139,42,11,81.3,46.9,2025-05-19,226,2.779827798277983,lapsed,lapsed,0.42312423124231247,1.0,65.4,7.6,8.0,404.51,3011.76,3236.08,211639.632,Klient_139,Produkt_042
77,32,11,83.8,34.5,2025-05-09,236,2.8162291169451077,lapsed,lapsed,0.5883054892601431,1.0,75.3,9.5,8.0,347.31,2598.64,2778.48,209219.544,Klient_077,Produkt_032
257,50,13,75.5,41.0,2025-06-29,185,2.4503311258278146,overdue,lapsed,0.45695364238410596,1.0,67.4,11.8,11.0,279.7,3325.56,3076.7,207369.58000000002,Klient_257,Produkt_050
159,4,10,92.3,49.6,2025-04-20,255,2.76273022751896,lapsed,lapsed,0.46262188515709635,1.0,67.8,9.2,8.0,349.04,2891.95,2792.32,189319.296,Klient_159,Produkt_004
151,134,11,80.3,41.5,2025-05-21,224,2.7895392278953923,lapsed,lapsed,0.4831880448318804,1.0,69.0,9.2,9.0,244.92,2096.64,2204.28,152095.32,Klient_151,Produkt_134
213,22,12,84.0,31.3,2025-07-14,170,2.0238095238095237,overdue,lapsed,0.6273809523809524,1.0,77.6,7.8,5.5,344.01,1979.12,1892.05,146823.08,Klient_213,Produkt_022
222,99,8,109.1,43.8,2025-05-12,233,2.1356553620531624,overdue,lapsed,0.5985334555453712,0.8,67.9,8.4,7.0,308.62,2108.78,2160.34,146687.086,Klient_222,Produkt_099
158,73,4,177.0,21.6,2024-09-26,461,2.6045197740112993,lapsed,lapsed,0.8779661016949153,0.4,68.7,10.5,10.5,200.03,2125.13,2100.32,144291.98400000003,Klient_158,Produkt_073
283,58,10,91.1,48.9,2025-04-03,272,2.985729967069155,lapsed,lapsed,0.46322722283205264,1.0,67.8,6.6,6.0,320.06,2016.04,1920.36,130200.40799999998,Klient_283,Produkt_058
24,23,13,59.3,31.9,2024-12-13,383,6.458684654300169,lapsed,lapsed,0.4620573355817875,1.0,67.7,10.3,10.0,188.03,1814.9,1880.3,127296.31,Klient_024,Produkt_023
274,32,12,75.6,37.6,2025-05-27,218,2.8835978835978837,lapsed,lapsed,0.5026455026455026,1.0,70.2,5.8,5.0,341.34,1758.98,1706.7,119810.34000000001,Klient_274,Produkt_032
140,60,13,73.3,42.7,2025-07-25,159,2.169167803547067,overdue,lapsed,0.4174624829467939,1.0,65.0,10.6,11.0,165.9,1724.47,1824.9,118618.5,Klient_140,Produkt_060
193,78,12,68.4,33.8,2025-07-02,182,2.660818713450292,lapsed,lapsed,0.5058479532163743,1.0,70.4,12.7,13.0,113.9,1452.75,1480.7,104241.28000000001,Klient_193,Produkt_078
17,16,14,70.5,36.5,2025-07-11,173,2.4539007092198584,overdue,lapsed,0.4822695035460993,1.0,68.9,9.1,7.0,213.64,1498.32,1495.48,103038.57200000001,Klient_017,Produkt_016
51,8,8,84.3,34.0,2025-05-20,225,2.6690391459074734,lapsed,lapsed,0.5966785290628707,0.8,67.8,6.4,2.5,432.49,1088.56,1081.22,73306.716,Klient_051,Produkt_008
105,72,9,90.4,43.2,2025-06-09,205,2.267699115044248,overdue,lapsed,0.5221238938053097,0.9,67.3,10.9,11.0,93.42,1065.79,1027.62,69158.82599999999,Klient_105,Produkt_072
56,14,13,57.5,33.1,2025-02-08,326,5.6695652173913045,lapsed,lapsed,0.42434782608695654,1.0,65.5,10.1,8.0,113.37,969.6,906.96,59405.880000000005,Klient_056,Produkt_014
34,94,15,62.9,35.2,2025-07-13,171,2.7186009538950717,lapsed,lapsed,0.4403815580286168,1.0,66.4,8.5,9.0,84.5,722.34,760.5,50497.200000000004,Klient_034,Produkt_094
1,150,15,58.9,30.2,2025-06-16,198,3.3616298811544993,lapsed,lapsed,0.48726655348047543,1.0,69.2,8.5,6.0,87.69,534.84,526.14,36408.888,Klient_001,Produkt_150
165,81,11,85.4,45.4,2025-06-25,189,2.2131147540983607,overdue,lapsed,0.46838407494145207,1.0,68.1,6.1,5.0,106.39,562.3,531.95,36225.795,Klient_165,Produkt_081
39,122,9,107.9,52.2,2025-05-16,229,2.122335495829472,overdue,lapsed,0.5162187210379982,0.9,67.0,9.4,11.0,37.11,424.16,408.21,27350.07,Klient_039,Produkt_122
